er,0,1,2,3,5,8,9,11,12,13,18,22,23,25,26,33,67,68,73,80
er,0,1,2,3,6,7,8,9,10,14,15,18,19,30,31,41,42,50,89,156
er,0,1,3,4,5,6,7,8,14,15,16,17,18,21,28,29,30,68,107,116
er,0,1,2,3,9,11,16,17,19,20,24,25,26,30,31,33,43,71,75,83
er,0,1,2,3,4,5,6,7,9,11,12,16,20,34,36,37,47,65,84,95
er,0,1,4,5,6,11,14,15,25,30,37,40,44,45,48,52,55,67,92,158
er,0,1,2,3,4,5,6,12,19,20,21,22,24,33,35,36,37,43,44,46
er,0,1,2,3,5,6,8,9,13,14,15,18,38,42,43,66,69,104,134,184
er,0,1,2,3,4,7,8,10,15,18,20,21,22,27,32,43,44,45,78,80
er,0,1,2,3,4,6,8,9,10,12,14,18,20,21,22,32,45,46,48,87
er,0,1,2,3,4,7,11,12,13,19,26,29,30,39,43,45,54,55,71,205
er,0,1,2,3,4,5,7,10,11,12,13,14,18,20,21,23,34,56,60,97
er,0,1,3,4,5,6,9,14,15,16,17,18,21,22,38,43,44,45,69,70
er,0,1,6,7,8,10,11,14,15,16,34,46,49,51,55,59,63,65,90,101
er,0,1,2,5,6,7,8,10,11,12,13,14,15,21,26,29,32,40,42,122
er,0,1,2,3,4,5,7,10,11,14,16,20,21,22,43,44,52,53,93,105
er,0,1,3,6,10,11,12,13,17,18,24,30,32,33,49,50,58,66,128,184
er,0,1,2,3,4,5,13,16,17,20,23,30,31,36,42,44,52,77,81,117
er,0,1,2,5,8,11,12,13,14,15,19,23,29,41,42,43,59,67,69,80
er,0,1,2,3,4,5,6,7,8,11,15,16,17,24,26,52,57,72,77,119
er,0,1,3,6,7,9,10,11,15,16,17,18,23,24,27,33,38,45,76,141
er,0,1,2,5,6,9,10,11,13,15,16,18,28,29,39,73,88,95,98,109
er,0,1,2,3,6,7,8,12,14,17,18,19,22,25,26,28,34,37,39,79
er,0,1,2,3,4,6,9,11,14,19,20,22,25,42,44,53,58,93,132,138
er,0,1,2,3,5,7,8,10,11,15,23,30,31,33,45,50,56,57,96,103
er,0,1,4,5,6,7,10,11,12,13,18,21,24,27,29,30,32,34,65,101
er,0,1,4,5,6,9,10,11,12,13,14,18,28,29,31,32,44,48,50,162
er,0,1,2,3,6,7,12,13,14,20,23,24,25,29,36,39,40,54,69,203
er,0,1,2,3,6,7,8,10,11,12,14,15,19,43,58,62,77,124,147,433
er,0,1,3,5,7,9,12,15,17,18,33,34,40,47,48,51,54,55,63,94
